"Date","Parashah","Aliyah","Reading","Verses"
12-Sep-2026,"Rosh Hashana I (on Shabbat)",1,"Genesis 21:1-21:4",4
12-Sep-2026,"Rosh Hashana I (on Shabbat)",2,"Genesis 21:5-21:8",4
12-Sep-2026,"Rosh Hashana I (on Shabbat)",3,"Genesis 21:9-21:12",4
12-Sep-2026,"Rosh Hashana I (on Shabbat)",4,"Genesis 21:13-21:17",5
12-Sep-2026,"Rosh Hashana I (on Shabbat)",5,"Genesis 21:18-21:21",4
12-Sep-2026,"Rosh Hashana I (on Shabbat)",6,"Genesis 21:22-21:27",6
12-Sep-2026,"Rosh Hashana I (on Shabbat)",7,"Genesis 21:28-21:34",7
12-Sep-2026,"Rosh Hashana I (on Shabbat)","maf","Numbers 29:1-29:6",6
12-Sep-2026,"Rosh Hashana I (on Shabbat)","Haftara","I Samuel 1:1-2:10",38

13-Sep-2026,"Rosh Hashana II",1,"Genesis 22:1-22:3",3
13-Sep-2026,"Rosh Hashana II",2,"Genesis 22:4-22:8",5
13-Sep-2026,"Rosh Hashana II",3,"Genesis 22:9-22:14",6
13-Sep-2026,"Rosh Hashana II",4,"Genesis 22:15-22:19",5
13-Sep-2026,"Rosh Hashana II",5,"Genesis 22:20-22:24",5
13-Sep-2026,"Rosh Hashana II","maf","Numbers 29:1-29:6",6
13-Sep-2026,"Rosh Hashana II","Haftara","Jeremiah 31:2-20",19

14-Sep-2026,"Tzom Gedaliah",1,"Exodus 32:11-32:14",4
14-Sep-2026,"Tzom Gedaliah",2,"Exodus 34:1-34:3",3
14-Sep-2026,"Tzom Gedaliah",3,"Exodus 34:4-34:10",7

14-Sep-2026,"Tzom Gedaliah (Mincha)",1,"Exodus 32:11-32:14",4
14-Sep-2026,"Tzom Gedaliah (Mincha)",2,"Exodus 34:1-34:3",3
14-Sep-2026,"Tzom Gedaliah (Mincha)","maf","Exodus 34:4-34:10",7
14-Sep-2026,"Tzom Gedaliah (Mincha)","Haftara","Isaiah 55:6-56:8",16

19-Sep-2026,"Ha'azinu",1,"Deuteronomy 32:1-32:6",6
19-Sep-2026,"Ha'azinu",2,"Deuteronomy 32:7-32:12",6
19-Sep-2026,"Ha'azinu",3,"Deuteronomy 32:13-32:18",6
19-Sep-2026,"Ha'azinu",4,"Deuteronomy 32:19-32:28",10
19-Sep-2026,"Ha'azinu",5,"Deuteronomy 32:29-32:39",11
19-Sep-2026,"Ha'azinu",6,"Deuteronomy 32:40-32:43",4
19-Sep-2026,"Ha'azinu",7,"Deuteronomy 32:44-32:52",9
19-Sep-2026,"Ha'azinu","maf","Deuteronomy 32:48-32:52",5
19-Sep-2026,"Ha'azinu","Haftara for Ashkenazim","Hosea 14:2-10; Joel 2:15-27 | Shabbat Shuva (with Ha'azinu)",22
19-Sep-2026,"Ha'azinu","Haftara for Sephardim","Hosea 14:2-10; Micah 7:18-20 | Shabbat Shuva (with Ha'azinu)",12

21-Sep-2026,"Yom Kippur",1,"Leviticus 16:1-16:6",6
21-Sep-2026,"Yom Kippur",2,"Leviticus 16:7-16:11",5
21-Sep-2026,"Yom Kippur",3,"Leviticus 16:12-16:17",6
21-Sep-2026,"Yom Kippur",4,"Leviticus 16:18-16:24",7
21-Sep-2026,"Yom Kippur",5,"Leviticus 16:25-16:30",6
21-Sep-2026,"Yom Kippur",6,"Leviticus 16:31-16:34",4
21-Sep-2026,"Yom Kippur","maf","Numbers 29:7-29:11",5
